ADELA,0.014,8.845,3
NOLA,0.014,8.859,4
BERNADINE,0.014,8.873,5
FLOSSIE,0.014,8.887,6
ILA,0.014,8.902,7
GRETA,0.014,8.916,8
RUTHIE,0.014,8.930,9
NELDA,0.014,8.944,0
MINERVA,0.014,8.958,1
LILLY,0.014,8.973,2
TERRIE,0.014,8.987,3
LETHA,0.014,9.001,4
HILARY,0.014,9.015,5
ESTELA,0.014,9.029,6
VALARIE,0.014,9.043,7
BRIANNA,0.014,9.057,8
ROSALYN,0.014,9.071,9
EARLINE,0.014,9.085,0
CATALINA,0.014,9.099,1
AVA,0.014,9.113,2
MIA,0.014,9.127,3
CLARISSA,0.014,9.141,4
LIDIA,0.014,9.155,5
CORRINE,0.014,9.169,6
ALEXANDRIA,0.014,9.183,7
CONCEPCION,0.014,9.196,8
TIA,0.014,9.210,9
SHARRON,0.014,9.224,0
RAE,0.014,9.238,1
DONA,0.014,9.251,2
ERICKA,0.014,9.265,3
JAMI,0.014,9.278,4
ELNORA,0.014,9.292,5
CHANDRA,0.014,9.306,6
LENORE,0.014,9.319,7
NEVA,0.013,9.333,8
MARYLOU,0.013,9.346,9
MELISA,0.013,9.360,0
TABATHA,0.013,9.373,1
SERENA,0.013,9.386,2
AVIS,0.013,9.400,3
ALLIE,0.013,9.413,4
SOFIA,0.013,9.426,5
JEANIE,0.013,9.439,6
ODESSA,0.013,9.453,7
NANNIE,0.013,9.466,8
HARRIETT,0.013,9.479,9
LORAINE,0.013,9.492,0
PENELOPE,0.013,9.505,1
MILAGROS,0.013,9.518,2
EMILIA,0.013,9.531,3
BENITA,0.013,9.544,4
ALLYSON,0.013,9.557,5
ASHLEE,0.013,9.570,6
TANIA,0.013,9.583,7
TOMMIE,0.013,9.596,8
ESMERALDA,0.013,9.608,9
KARINA,0.013,9.621,0
EVE,0.013,9.634,1
PEARLIE,0.013,9.647,2
ZELMA,0.013,9.659,3
MALINDA,0.013,9.672,4
NOREEN,0.013,9.684,5
TAMEKA,0.013,9.697,6
SAUNDRA,0.013,9.710,7
HILLARY,0.013,9.722,8
AMIE,0.013,9.735,9
ALTHEA,0.012,9.747,0
ROSALINDA,0.012,9.760,1
JORDAN,0.012,9.772,2
LILIA,0.012,9.784,3
ALANA,0.012,9.797,4
GAY,0.012,9.809,5
CLARE,0.012,9.821,6
ALEJANDRA,0.012,9.834,7
ELINOR,0.012,9.846,8
MICHAEL,0.012,9.858,9
LORRIE,0.012,9.870,0
JERRI,0.012,9.882,1
DARCY,0.012,9.895,2
EARNESTINE,0.012,9.907,3
CARMELLA,0.012,9.919,4
TAYLOR,0.012,9.931,5
NOEMI,0.012,9.943,6
MARCIE,0.012,9.954,7
LIZA,0.012,9.966,8
ANNABELLE,0.012,9.978,9
LOUISA,0.012,9.990,0
EARLENE,0.012,0.002,1
MALLORY,0.012,0.014,2
CARLENE,0.012,0.025,3
NITA,0.012,0.037,4
SELENA,0.012,0.049,5
TANISHA,0.012,0.060,6
KATY,0.012,0.072,7
JULIANNE,0.012,0.083,8
JOHN,0.012,0.095,9
LAKISHA,0.011,0.106,0
EDWINA,0.011,0.118,1
MARICELA,0.011,0.129,2
MARGERY,0.011,0.141,3
KENYA,0.011,0.152,4
DOLLIE,0.011,0.164,5
ROXIE,0.011,0.175,6
ROSLYN,0.011,0.187,7
KATHRINE,0.011,0.198,8
NANETTE,0.011,0.209,9
CHARMAINE,0.011,0.221,0
LAVONNE,0.011,0.232,1
ILENE,0.011,0.243,2
KRIS,0.011,0.255,3
TAMMI,0.011,0.266,4
SUZETTE,0.011,0.277,5
CORINE,0.011,0.288,6
KAYE,0.011,0.300,7
JERRY,0.011,0.311,8
MERLE,0.011,0.322,9
CHRYSTAL,0.011,0.333,0
LINA,0.011,0.344,1
DEANNE,0.011,0.355,2
LILIAN,0.011,0.366,3
JULIANA,0.011,0.377,4
ALINE,0.011,0.388,5
LUANN,0.011,0.399,6
KASEY,0.011,0.410,7
MARYANNE,0.011,0.421,8
EVANGELINE,0.011,0.432,9
COLETTE,0.011,0.443,0
MELVA,0.011,0.453,1
LAWANDA,0.011,0.464,2
YESENIA,0.011,0.475,3
NADIA,0.011,0.486,4
MADGE,0.011,0.497,5
KATHIE,0.011,0.507,6
EDDIE,0.011,0.518,7
OPHELIA,0.011,0.529,8
VALERIA,0.011,0.539,9
NONA,0.011,0.550,0
MITZI,0.011,0.561,1
MARI,0.011,0.571,2
GEORGETTE,0.011,0.582,3
CLAUDINE,0.011,0.592,4
FRAN,0.011,0.603,5
ALISSA,0.011,0.613,6
ROSEANN,0.010,0.624,7
LAKEISHA,0.010,0.634,8
SUSANNA,0.010,0.645,9
REVA,0.010,0.655,0
DEIDRE,0.010,0.665,1
CHASITY,0.010,0.676,2
SHEREE,0.010,0.686,3
CARLY,0.010,0.697,4
JAMES,0.010,0.707,5
ELVIA,0.010,0.717,6
ALYCE,0.010,0.728,7
DEIRDRE,0.010,0.738,8
GENA,0.010,0.748,9
BRIANA,0.010,0.758,0
ARACELI,0.010,0.769,1
